小区,户型,面积,价格,单价,朝向,位置,地铁
野风海天城,3室2厅1厨2卫,123.54㎡,350,28331元/平米,南,钱塘新区 沿江北 ,近1号线(下沙江滨-湘湖)云水站
爵士风情花园,2室2厅1厨1卫,87.46㎡,190,21725元/平米,南 北,余杭 闲林 ,
赞成乐山红叶,3室2厅1厨2卫,87.28㎡,230,26352元/平米,南 北,余杭 闲林 ,
复地黄龙和山,4室2厅1厨2卫,137.53㎡,590,42900元/平米,南 北,西湖 西溪 ,
恒厚阳光城,3室1厅1厨1卫,85.6㎡,215,25117元/平米,南,余杭 闲林 ,
南星公寓,2室1厅1厨1卫,54.29㎡,200,36840元/平米,南,上城 雄镇楼 ,近地铁4号线南星桥站
北城枫景园,2室2厅1厨1卫,62.3㎡,170,27288元/平米,南,江干 丁桥 ,
德圣博奥城,3室2厅1厨1卫,88.71㎡,353,39793元/平米,南,萧山 萧山新城区 ,
盛泰名都中心,1室1厅1厨1卫,46.7㎡,71,15204元/平米,南,钱塘新区 高教园区西 ,近1号线(下沙江滨-湘湖)文泽路站
滨江江南之星,4室2厅1厨2卫,128.29㎡,505,39364元/平米,南,萧山 萧山新城区 ,
西园凤都苑,3室2厅1厨1卫,105.39㎡,260,24671元/平米,南 北,余杭 未来科技城 ,
小河路,2室1厅1厨1卫,52.16㎡,255,48889元/平米,南,拱墅 桥西 ,
红枫苑,2室1厅1厨1卫,60.17㎡,265,44042元/平米,南 北,下城 潮鸣 ,
滨江金色家园,5室2厅1厨3卫,226.62㎡,1300,57365元/平米,南 西 北,上城 南星 ,近地铁4号线甬江路站
翠苑五区,3室1厅1厨1卫,79.83㎡,280,35075元/平米,南,西湖 翠苑 ,近地铁2号线古翠路站
景芳五区,2室1厅1厨1卫,54.63㎡,205,37526元/平米,南 北,江干 景芳 ,近地铁4号线景芳站
金岸提香,2室2厅1厨1卫,77.61㎡,188,24224元/平米,南,余杭 闲林 ,
